Name
javascript
react.js
angular.js
react
angular
vue.js
vue js
express
next
js
node.js
webpack
babel
eslint
jest
cypress
django
flask
fast-api
fastapi
pyramid
pip
python package manager
package
virtual env
pytest
selenium
rest-api
rest api
ruby
rails
sinatra
hanami
blunder
rake
capybara
rspec
php
laravel
codeigniter
symfony
composer
phpunit
java
spring
java server faces
javaserverfaces(jsf)
playframework
play framework
apache maven
apachemaven
gradle
junit
j unit
c# 
asp_net
asp.net
asp.net core
asp.netcore
nancy
nuget
nunit
n unit
golang
go
gin
echo
revel
dep
dep(dependency manager for go)
ginkgo
typescript
tsc
tsc(type script compiler)
webpack
eslint
jest
html
css
html/css
bootsrap
foundation
bulma
visual studio code
visualstudiocode
sublime
sublime text
chrome developer tools
xampp
laragon
phpmyadmin
php myadmin
react native
reactnative
ios
android
swift
swift ui
swift_ui
flutter
xamarin
dart
api
android studio
x-code
x code
firebase
testflight
test flight
appium
xctest
flutter driver
flutterdriver
widget
material ui
material-ui
tailwind css
tailwind-css
semantic ui
semantic-ui
user testing
user-testing
optimizely
hotjar
usability hub
usabilityhub
usability testing
usabilitytesting
adobe xd
adobe-xd
figma
invision
in-vision
skecth
jenkins
ansible
chef
puppet
git
docker
kubernetes
terraform
jmeter
j-meter
grafana
elk stack
elk-stack
aws
aws(amazon web services)
virtual
env
microsoft azure
microsoftazure
laas
paas
saas
google cloud platform
google-cloud-platform
gcp
github
kotlin
